address;cep;municipality ;state;country
Avenida A Distrito Industrial    ;13054712;Campinas;SP;Brasil
Rua A Novo Taquaral    ;13077109;Campinas;SP;Brasil
Viela A Jardim Metonopolis    ;13058451;Campinas;SP;Brasil
Rua A Loteamento Claude de Barros Penteado (Sousas)    ;13105244;Campinas;SP;Brasil
Rua A Jardim Rosalia IV    ;13067750;Campinas;SP;Brasil
Rua A Chacaras Sao Martinho    ;13042830;Campinas;SP;Brasil
Viela A Nucleo Residencial Parque Pinheiros    ;13067238;Campinas;SP;Brasil
Rua A Jardim Monte Libano    ;13046429;Campinas;SP;Brasil
Rua A Sensitiva Jardim Novo Campos Eliseos    ;13060421;Campinas;SP;Brasil
Rua Aba Parque Universitario de Viracopos    ;13056502;Campinas;SP;Brasil
Rua Abacai Parque Universitario de Viracopos    ;13056481;Campinas;SP;Brasil
Rua da Nossa Senhora Abadia Conjunto Habitacional Padre Anchieta    ;13068511;Campinas;SP;Brasil
Rua Abaete Parque Universitario de Viracopos    ;13056482;Campinas;SP;Brasil
Rua Abare Parque Universitario de Viracopos    ;13056470;Campinas;SP;Brasil
Rua Abel Antonio Mendanha Jardim Novo Campos Eliseos    ;13050731;Campinas;SP;Brasil
Rua Abel Jose Bonomi Vila Santa Isabel    ;13084654;Campinas;SP;Brasil
Rua Abel Luis Ferreira Jardim do Lago    ;13050023;Campinas;SP;Brasil
Rua Abel Pereira da Silva Jardim Itaguacu II    ;13053535;Campinas;SP;Brasil
Rua Doutor Abelardo Cerqueira Cesar Jardim Bonfim    ;13032535;Campinas;SP;Brasil
Viela Abelardo Jose dos Santos Jardim Santo Antonio    ;13054806;Campinas;SP;Brasil
Rua Abelardo Pires de Avila Jardim Marisa    ;13053200;Campinas;SP;Brasil
Avenida Doutor Abelardo Pompeu do Amaral - ate / Vila Industrial    ;13035590;Campinas;SP;Brasil
Avenida Doutor Abelardo Pompeu do Amaral - de / ao fim Vila Industrial    ;13035600;Campinas;SP;Brasil
Rua das Abelias Alphaville Dom Pedro    ;13097173;Campinas;SP;Brasil
Rua Abigail Arantes Leite Bosque das Palmeiras    ;13086720;Campinas;SP;Brasil
Rua Abigail Zeni Nader - ate / Dic VI (Conjunto Habitacional Santo Dias Silva)    ;13054696;Campinas;SP;Brasil
Rua Abigail Zeni Nader - de / ao fim Dic V (Conjunto Habitacional Chico Mendes)    ;13054500;Campinas;SP;Brasil
Rua Abilio Alves Rabelo Eldorado dos Carajas    ;13054287;Campinas;SP;Brasil
Praca Abilio de Jesus Dias Jardim Novo Campos Eliseos    ;13050588;Campinas;SP;Brasil
Rua Abilio Fernandes Jardim Alvorada    ;13050743;Campinas;SP;Brasil
Rua Abilio Fernandes Serra Jardim Garcia    ;13061093;Campinas;SP;Brasil
Rua Abilio Jose dos Santos Jardim Novo Campos Eliseos    ;13050712;Campinas;SP;Brasil
Rua Abilio Luz (Residencial Lauerz) Swiss Park    ;13049511;Campinas;SP;Brasil
Rua Abilio Vilela Junqueira Chacara Santa Margarida    ;13085420;Campinas;SP;Brasil
Rua Abiurana Loteamento Alphaville     ;13098358;Campinas;SP;Brasil
Rua Abner Maia Jardim Santa Terezinha    ;13052161;Campinas;SP;Brasil
Rua Abner Paulo de Oliveira Parque Eldorado    ;13052766;Campinas;SP;Brasil
Rua da Abolicao - ate / Ponte Preta    ;13041445;Campinas;SP;Brasil
Rua da Abolicao - de / ao fim Vila Joaquim Inacio    ;13045750;Campinas;SP;Brasil
Rua Abrahao Pasmanik Jardim Icarai    ;13051412;Campinas;SP;Brasil
Avenida Abram Steinberg Bairro das Palmeiras    ;13092597;Campinas;SP;Brasil
Rua Abran Gelwan Jardim Botanico (Sousas)    ;13106286;Campinas;SP;Brasil
Rua de Marques Abrantes Jardim Santa Genebra    ;13080220;Campinas;SP;Brasil
Rua Abrao Baracat Jardim Sao Jose    ;13051155;Campinas;SP;Brasil
Rua Abrao Jose Jorge Jardim Ouro Preto    ;13059776;Campinas;SP;Brasil
Rua Abrolhos Jardim Santo Antonio    ;13054776;Campinas;SP;Brasil
Rua Abuna Parque Universitario de Viracopos    ;13056483;Campinas;SP;Brasil
Rua Acacia Jardim Capivari    ;13050816;Campinas;SP;Brasil
Rua Acacia Mimosa Loteamento Solar     ;13085692;Campinas;SP;Brasil
Rua das Acacias Vila Boa Vista    ;13064797;Campinas;SP;Brasil
Rua Acai Bairro das Palmeiras    ;13092587;Campinas;SP;Brasil
Rua dos Acajus Vila Boa Vista    ;13064745;Campinas;SP;Brasil
Alameda das Acerolas Loteamento Chacara Prado    ;13042093;Campinas;SP;Brasil
Estrada Acesso A Vila Lunardi    ;13067170;Campinas;SP;Brasil
Estrada de Acesso X-Tal Polo II de Alta Tecnologia ()    ;13086520;Campinas;SP;Brasil
Rua Professor Achille Bassi Cidade Universitaria    ;13083530;Campinas;SP;Brasil
Rua Achilles Bertoldi Cidade Satelite Iris    ;13059623;Campinas;SP;Brasil
Rua Achilles Brasil Jardim Maisa    ;13046360;Campinas;SP;Brasil
Rua dos Acoces Vila Costa e Silva    ;13081360;Campinas;SP;Brasil
Rua Acor Vila Padre Manoel de Nobrega    ;13061347;Campinas;SP;Brasil
Rua Acrisio Pacheco Jardim do Lago    ;13050004;Campinas;SP;Brasil
Rua do Acrobata Residencial Parque das Araucarias    ;13105806;Campinas;SP;Brasil
Rua Acu Loteamento Alphaville     ;13098335;Campinas;SP;Brasil
Rua do Acucar Jardim Chapadao    ;13070024;Campinas;SP;Brasil
Rua das Acucenas Jardim das Bandeiras    ;13050072;Campinas;SP;Brasil
Rua da Acurana Residencial Parque das Araucarias    ;13105815;Campinas;SP;Brasil
Rua Acurcio Ferreira Pessoa Jardim Monte Cristo/Parque Oziel    ;13049071;Campinas;SP;Brasil
Rua Ada de Oliveira Vila Palmeiras II    ;13053260;Campinas;SP;Brasil
Rua Ada Guernelli Maia Loteamento Residencial Novo Mundo    ;13058288;Campinas;SP;Brasil
Rua Ada Maria Berton Dalmedico Morada das Nascentes (Joaquim Egidio)    ;13108297;Campinas;SP;Brasil
Rua Ada Matallo Pavani (Residencial Lenk) Swiss Park    ;13049436;Campinas;SP;Brasil
Rua Ada Matallo Pavani (Residencial Vevey) Swiss Park    ;13049465;Campinas;SP;Brasil
Rua Adalberto Inacio Nogueira Jardim Sao Cristovao    ;13056283;Campinas;SP;Brasil
Rua Adalberto Maia Taquaral    ;13076007;Campinas;SP;Brasil
Rua Professor Adalberto Nascimento Sao Bernardo    ;13030730;Campinas;SP;Brasil
Rua Adalberto Panzan Terminal Intermodal de Cargas (TIC)    ;13069105;Campinas;SP;Brasil
Rua Adalberto Patrocinio Jardim Sao Domingos    ;13053314;Campinas;SP;Brasil
Rua Professor Adalberto Prado e Silva Cidade Universitaria    ;13083540;Campinas;SP;Brasil
Rua Adalgiza Nery - de / ao fim Jardim Profilurb    ;13056323;Campinas;SP;Brasil
Rua Adalgiza Nery - ate / Dic I (Conjunto Habitacional Monsenhor Luiz Fernando Abreu)    ;13056391;Campinas;SP;Brasil
Rua Adamantina Vila Nova    ;13073109;Campinas;SP;Brasil
Praca Adamina Del Soldato Saad Cambui    ;13024515;Campinas;SP;Brasil
Rua Adamo Astolfi Parque Camelias    ;13052532;Campinas;SP;Brasil
Avenida Adao Focesi Jardim do Lago    ;13050000;Campinas;SP;Brasil
Rua Adao Goncalves - ate / Conjunto Habitacional Padre Anchieta    ;13068028;Campinas;SP;Brasil
Rua Adao Goncalves - de / ao fim Jardim Aparecida    ;13068628;Campinas;SP;Brasil
Rua Adao Goncalves Fernandes Gleba - Subdivisao de Adao Goncalves Fernandes    ;13068596;Campinas;SP;Brasil
Rua Maestro Adao Gozzi Jardim Ouro Branco    ;13100506;Campinas;SP;Brasil
Rua Adao Hoffmann Vila Industrial    ;13035010;Campinas;SP;Brasil
Rua Adao Luiz Chiminazzo (Residencial Baden) Swiss Park    ;13049392;Campinas;SP;Brasil
Rua Adao Rita Residencial Parque da Fazenda    ;13060575;Campinas;SP;Brasil
Rua Adao Rodrigues Filho Conjunto Residencial Parque Sao Bento    ;13058214;Campinas;SP;Brasil
Rua Adao Soares da Silva Jardim Monte Cristo/Parque Oziel    ;13049127;Campinas;SP;Brasil
Rua Adauto Ribeiro de Melo Loteamento Country Ville    ;13050182;Campinas;SP;Brasil
Viela Adelaide Cicero Vidotti Jardim Santo Antonio    ;13054809;Campinas;SP;Brasil
Rua Adelaide Daniel de Almeida Loteamento Center Santa Genebra    ;13080661;Campinas;SP;Brasil
Rua Adelaide dos Santos Barreira Jardim Chapadao    ;13070007;Campinas;SP;Brasil
Rua Santa Adelia Jardim Brasil    ;13073019;Campinas;SP;Brasil
Rua Adelia Abib Conjunto Residencial Parque Sao Bento    ;13058153;Campinas;SP;Brasil
